"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31908","Negative Login Test","","2026-05-24","passed","2026-05-24","","","",""
"","179471","Login Add Multiple Medicines And Checkout","","2026-05-24","passed","2026-05-24","","","",""
"","57414","Negative Medicine Search","","2026-05-24","passed","2026-05-24","","","",""
"","32975","Positive Login Test","","2026-05-24","passed","2026-05-24","","","",""
"","33033","Positive Medicine Search","","2026-05-24","passed","2026-05-24","","","",""
"","11830","Verify Website Launch","","2026-05-24","passed","2026-05-24","","","",""
